batter_id,season,pa,MAX (batter_name),COUNT (*)
110029,2012,Bunt Grounder,Bobby Abreu,1
110029,2012,Fly Ball,Bobby Abreu,40
110029,2012,Grounder,Bobby Abreu,81
110029,2012,Grounder (error),Bobby Abreu,1
110029,2012,Intent Walk,Bobby Abreu,3
110029,2012,Liner,Bobby Abreu,36
110029,2012,Popup,Bobby Abreu,5
110029,2012,Strikeout Foul Tip,Bobby Abreu,4
110029,2012,Strikeout Looking,Bobby Abreu,20
110029,2012,Strikeout Swinging,Bobby Abreu,32
110029,2012,Walk,Bobby Abreu,34
110029,2014,Fly Ball,Bobby Abreu,21
110029,2014,Grounder,Bobby Abreu,45
110029,2014,Grounder (error),Bobby Abreu,1
110029,2014,Grounder (fc),Bobby Abreu,1
110029,2014,Liner,Bobby Abreu,28
110029,2014,Popup,Bobby Abreu,3
110029,2014,Strikeout Looking,Bobby Abreu,4
110029,2014,Strikeout Swinging,Bobby Abreu,13
110029,2014,Walk,Bobby Abreu,18
110683,2012,Bunt Strikeout (foul),Miguel Batista,1
110683,2012,Bunt Unknown (sacrifice),Miguel Batista,1
110683,2012,Grounder,Miguel Batista,2
110683,2012,Strikeout Foul Tip,Miguel Batista,1
110683,2012,Strikeout Swinging,Miguel Batista,2
111072,2012,Fly Ball,Henry Blanco,16
111072,2012,Grounder,Henry Blanco,13
111072,2012,Grounder (error),Henry Blanco,2
111072,2012,Liner,Henry Blanco,8
111072,2012,Popup,Henry Blanco,8
111072,2012,Runner Out,Henry Blanco,1
111072,2012,Strikeout Looking,Henry Blanco,2
111072,2012,Strikeout Swinging,Henry Blanco,17
111072,2012,Walk,Henry Blanco,3
111072,2013,Air Ball (home run),Henry Blanco,2
111072,2013,Bunt Unknown (sacrifice),Henry Blanco,1
111072,2013,Fly Ball,Henry Blanco,23
111072,2013,Grounder,Henry Blanco,33
111072,2013,Hit By Pitch,Henry Blanco,1
111072,2013,Liner,Henry Blanco,22
111072,2013,Popup,Henry Blanco,18
111072,2013,Strikeout Foul Tip,Henry Blanco,2
111072,2013,Strikeout Looking,Henry Blanco,7
111072,2013,Strikeout Swinging,Henry Blanco,27
111072,2013,Walk,Henry Blanco,14
111867,2012,Bunt Grounder,Miguel Cairo,1
111867,2012,Bunt Strikeout (foul),Miguel Cairo,1
111867,2012,Fly Ball,Miguel Cairo,46
111867,2012,Grounder,Miguel Cairo,49
111867,2012,Grounder (error),Miguel Cairo,4
